titulo,autor,precio_liquidacion,precio_normal,estado,categoria,isbn,editorial,ano,coleccionable,url
,,4000,8000,good,,,,,,https://tuslibros.cl/libro/vero/espejo-retrovisor
,,4000,7990,good,,,,,sí,https://tuslibros.cl/libro/vero/maigret-y-el-extrano-vagabundo
,,4000,7990,good,,,,,sí,https://tuslibros.cl/libro/vero/maigret-se-equivoca
,,4000,7990,good,,,,,sí,https://tuslibros.cl/libro/vero/maigret-y-el-caso-del-ministro
,,4000,7990,good,,,,,,https://tuslibros.cl/libro/vero/noticias-de-la-noche
,,4000,7990,good,,,,,sí,https://tuslibros.cl/libro/vero/maigret-se-defiende
,,4000,7990,good,,,,,sí,https://tuslibros.cl/libro/vero/maigret-y-los-muertos-del-canal
,,4000,7990,good,,,,,sí,https://tuslibros.cl/libro/vero/maigret-con-la-muerte-en-los-talones
,,4000,7990,good,,,,,sí,https://tuslibros.cl/libro/vero/maigret-y-el-liberty-bar
,,4000,7990,good,,,,,sí,https://tuslibros.cl/libro/vero/maigret-y-el-cliente-del-sabado
,,4000,7990,good,,,,,sí,https://tuslibros.cl/libro/vero/una-confidencia-de-maigret
,,4000,7990,good,,,,,sí,https://tuslibros.cl/libro/vero/la-paciencia-de-maigret
,,4000,7990,good,,,,,,https://tuslibros.cl/libro/vero/escenas-en-el-castillo
,,4000,7990,good,,,,,sí,https://tuslibros.cl/libro/vero/maigret-en-los-bajos-fondos
,,4000,7990,good,,,,,sí,https://tuslibros.cl/libro/vero/maigret-y-el-asesino
,,4000,7990,fair,,,,,,https://tuslibros.cl/libro/vero/el-ministerio-del-miedo
,,4000,7990,good,,,,,sí,https://tuslibros.cl/libro/vero/maigret-en-nuevo-york
,,4000,7990,good,,,,,,https://tuslibros.cl/libro/vero/mansion-araucaima-mutis
,,4000,7990,good,,,,,sí,https://tuslibros.cl/libro/vero/maigret
,,3900,7700,good,,,,,,https://tuslibros.cl/libro/vero/el-instinto-musical
,,3500,7000,good,,,,,,https://tuslibros.cl/libro/vero/las-huellas-de-los-dioses
,,3500,7000,good,,,,,,https://tuslibros.cl/libro/vero/el-sastre-de-panama-359279
,,3500,6990,good,,,,,,https://tuslibros.cl/libro/vero/camino-de-perfeccion-baroja
,,3500,6990,good,,,,,,https://tuslibros.cl/libro/vero/el-hombre-de-mi-vida
,,3500,6990,good,,,,,,https://tuslibros.cl/libro/vero/el-eco-negro-connelly
,,3300,6500,new,,,,,,https://tuslibros.cl/libro/vero/lecciones-para-una-liebre-muerta
,,3300,6500,new,,,,,,https://tuslibros.cl/libro/vero/ripley-bogle
,,3300,6500,new,,,,,,https://tuslibros.cl/libro/vero/muerte-en-verano
,,3300,6500,new,,,,,,https://tuslibros.cl/libro/vero/el-tiempo-entre-costuras
,,3300,6500,new,,,,,,https://tuslibros.cl/libro/vero/la-maleta
,,3300,6500,new,,,,,,https://tuslibros.cl/libro/vero/la-presidencia-imperial
,,3300,6500,new,,,,,,https://tuslibros.cl/libro/vero/el-secreto-de-christine
,,3300,6500,new,,,,,,https://tuslibros.cl/libro/vero/las-sombras-de-quirke
